source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr,simbad_id,otype,sep_arcsec,known_contaminant
922602371530515968,119.47369049575086,42.89300911669871,0.3863149015718932,0.25,0.9,0.48277032,55.748272,3.1985893,1.0539799060740145,0.9827415,0.0332593600639578,176.922631062396,29.78777545826015,0.0332593600639578,,,,,False
4457737146248671232,239.55389088706076,11.608885800688068,0.3524516128850194,0.4,1.25,0.47983688,48.05071,5.524822,0.7766900753001544,1.024622,0.0651604275866368,22.80917303797425,43.60667405681135,0.0651604275866368,,,,,False
3075556987527603072,132.83185252490958,0.8949842039053044,0.4217063542337147,0.3,1.2,0.4780361,52.152187,10.294819,0.186346897823528,0.95683724,0.0491992631612517,226.80194247525907,26.852194540068098,0.0491992631612517,,,,,False
4870395130145121664,64.0183133404036,-34.33786977993846,0.2505135386138173,0.5,1.45,0.47792298,43.85303,4.19804,0.246818377352741,0.98881286,0.0459731298292442,235.39228002208495,-45.89794981515763,0.0459731298292442,,,,,False
6710830535364373760,285.0152404913157,-45.87406631376722,0.2374825434193423,0.4,1.3,0.47519234,47.125,4.520813,0.1041019768276975,0.9966995,0.1141908665632055,350.91147526249745,-20.52517631784744,0.1141908665632055,,,,,False
6673595020035129984,300.3821666081269,-44.704476015986735,0.3994146564755327,0.5,1.45,0.47293788,42.942966,3.488926,1.2442117547742884,0.9255051,0.0732867444690405,354.98670062705685,-30.74469102094457,0.0732867444690405,,,,,False
4881021635150542080,71.9903414585108,-27.03139209095519,0.4481400652989293,0.25,1.05,0.47180596,53.244797,8.147305,1.4592677877971232,1.0265898,0.0592685348032332,227.315991058195,-37.87822544459989,0.0592685348032332,,,,,False
4622814970182792704,70.74468822504002,-79.4151537544099,0.3288106410630966,0.45,1.45,0.46849698,43.90223,6.6968765,0.7853953069907402,1.0437837,0.0188685140134934,292.31895710157687,-32.35308062577094,0.0188685140134934,,,,,False
1214923278830693248,228.85761218830692,21.263766711435057,0.3802779081373426,0.2,1.0,0.46554258,54.414993,8.861668,1.6806956438707663,0.99503905,0.1284293054809219,30.733448119268992,56.75993781778305,0.1284293054809219,,,,,False
2336481764010966656,1.7545286413002423,-24.50225700831923,0.330035986333435,0.45,1.45,0.464456,43.14815,4.868973,0.3948321387113591,1.0892714,0.0495347049247724,45.18011290997457,-79.66845896180448,0.0495347049247724,,,,,False
658297372695252864,131.74928212416796,17.18565365614927,0.1517497693433798,0.45,1.25,0.4621828,42.72682,2.2489586,0.820921954629905,1.0189297,0.0438430367322129,209.3403732813059,33.059415003679504,0.0438430367322129,,,,,False
1298158301919293056,248.81878165208929,23.10203868274701,0.3151431769820627,0.35,1.25,0.46149617,46.44523,6.4059296,0.2171670706133833,1.0248814,0.1251032785972827,41.46959291816878,39.58048195219012,0.1251032785972827,,ZTF J163516.50+230607.4,BY*,0.11287475683504213,True
2123039550306406656,272.946436120267,49.33257972457185,0.1083771067739824,0.4,1.25,0.46107686,44.366905,2.5538025,-0.0404294240485615,1.06655,0.0576487854511616,77.115757221524,26.468825023989883,0.0576487854511616,,,,,False
649775676544863232,122.18022903519326,11.807866579974624,0.0690982624879694,0.45,1.35,0.4610106,42.51037,2.1719818,0.2715798297558416,1.1169311,0.0370757543258197,210.79630039857275,22.428813006522603,0.0370757543258197,,,,,False
2253492962810504576,284.87606281362065,63.70987889135328,0.1151463962735377,0.4,1.15,0.46016186,44.19099,3.7506104,-0.5488636653687755,1.0763751,0.0317511428348612,94.1281244106582,23.2626703367806,0.0317511428348612,,,,,False
4224580070580227328,310.4002899835565,-3.503931015754654,0.3842636963538357,0.1,0.85,0.45763016,58.191456,9.3195305,1.6721990676943046,1.1272783,0.0676384022936792,42.93171350894099,-26.015357132842585,0.0676384022936792,,,,,False
6120502982930299904,210.8175604316397,-37.76322551590495,0.3020427027036856,0.4,1.3,0.45754817,43.690414,4.9679604,0.5251097386206307,1.1324562,0.0728985517999303,318.28165664120473,22.958074566529675,0.0728985517999303,,,,,False
4565852498267698304,251.7115662315314,22.01871142028993,0.3521490992911378,0.4,1.4,0.45457307,43.12409,7.556988,0.3209984383571198,0.9786712,0.1063484512045003,41.17990542933982,36.70687045451791,0.1063484512045003,,,,,False
3589325270443238784,176.80119626712406,-7.738272874303501,0.2198715301105291,0.1,0.7,0.44879422,55.966022,3.8003922,2.1723881900555466,0.9891005,0.0432380490070345,276.60913759223786,51.82027299813057,0.0432380490070345,,,,,False
4566918547809795328,259.21110090770514,21.04027739463532,0.0300652094679261,0.6,1.45,0.44541702,35.251015,4.849739,0.0270445389614167,0.9568259,0.0788503175052759,42.80613153049019,29.795257129641858,0.0788503175052759,,,,,False
3491500312171562752,175.48245851318396,-25.306868177070463,0.3609981426793371,0.2,1.05,0.44371277,49.43148,8.676796,1.7752615590775072,1.0290103,0.0816877344689336,283.6980336586772,34.95540418438763,0.0816877344689336,,,,,False
1298091128630747520,249.20741347892564,22.878146047381858,0.3281787160987086,0.3,1.25,0.439026,43.987736,8.238636,0.4449449228182379,0.9993313,0.0916149473850484,41.32803454098728,39.17286799999973,0.0916149473850484,,,,,False
6829877614238086784,324.13663208402824,-20.96698626946012,0.0974088425064474,0.4,1.15,0.4384556,40.120262,1.5591431,1.516989001411436,0.98188204,0.0803178891896597,29.86753554830333,-45.350244674686365,0.0803178891896597,,,,,False
6698149695961692800,300.3614239796629,-35.8229359030218,0.2138753090774834,0.35,1.3,0.43642452,41.535866,10.677551,2.596162018240753,0.9791139,0.0900386380832424,5.01653418728971,-28.94046213574644,0.0900386380832424,,,,,False
2957109451727718016,81.25930069960093,-25.437340152264955,0.2492035871076536,0.35,1.3,0.43544614,41.34984,4.3098526,0.6906569099561087,1.0882771,0.0514023128106322,228.29442371514395,-29.45389925120522,0.0514023128106322,,,,,False
1381823921247136640,242.97900498757232,41.93720197798461,0.2071516891632461,0.25,1.1,0.4352218,45.30765,4.2330856,0.7844209361580147,1.0936563,0.0308567024563683,66.39518447551998,46.82228574113015,0.0308567024563683,,,,,False
1496994534441769088,208.08112193260723,39.63437465342789,0.2205011491544812,0.35,1.25,0.43221724,40.73888,2.7324333,0.4986257897690546,1.1133308,0.0264153577244039,81.47140169739909,72.21830239426421,0.0264153577244039,,,,,False
5469510426185969024,157.6154826273646,-25.45577791175403,0.1049999130620715,0.35,1.15,0.42909253,40.151966,2.9976616,1.0372533683568046,1.02967,0.0806041668317347,266.9938516586108,27.406573778009083,0.0806041668317347,,,,,False
719074939505409280,137.74204852552646,38.68953674865636,0.1546659308931346,0.4,1.4,0.42831343,38.285637,3.3513985,1.3428902509914291,1.0476632,0.0335844002579716,184.07859800165295,43.02503147017416,0.0335844002579716,,,,,False
988337915444889088,106.51672885034392,55.71385869831607,0.3369453752057119,0.15,1.0,0.42781633,48.30696,8.852745,0.914667036460284,1.0688602,0.0885242719825717,160.95520191503408,24.125064942099783,0.0885242719825717,,Gaia DR3 988337915444889088,*,0.3163695985317985,False
6790900438134816640,320.62323457838136,-26.624949551443,0.3344371987393408,0.2,1.0,0.4273859,45.86064,6.3694572,1.3371466671842156,0.97564435,0.0481204059461792,21.00995637596012,-43.75590059345607,0.0481204059461792,,,,,False
2410010332807879296,347.2747663917232,-15.36910735103123,0.1823265509273595,0.45,1.45,0.4266359,36.40724,3.3129578,0.7118452981797826,1.0020664,0.0543907375738,54.033192302432255,-63.49153055804037,0.0543907375738,,,,,False
1125878264503945088,135.246014239407,77.87049851904864,0.327330385898672,0.45,1.45,0.42647305,36.379456,2.975994,0.7123951884424268,1.0604093,0.0322235140069589,135.15916547230003,33.09095929883342,0.0322235140069589,,,,,False
2889062704308974848,90.06446555146208,-35.49957659305665,0.178455292554915,0.15,1.0,0.42516676,47.71046,7.0834427,0.5140733839627564,1.0063362,0.0183462106884949,241.62917832576872,-25.16657740261896,0.0183462106884949,,Gaia DR3 2889062704308974848,Em*,0.29694237793846706,True
1013427293321446272,132.24270746146928,46.164203758594894,0.3735646440613109,0.25,1.3,0.42477652,43.158997,10.784622,0.4800656332176984,1.0183699,0.0832839145629197,174.0284796751517,39.14977534425814,0.0832839145629197,,,,,False
2469429281203400704,15.223214866943794,-12.014999258640009,0.3177493169849681,0.35,1.3,0.42368907,39.147087,4.152088,0.6466924594306231,0.99165547,0.0679326135054147,131.73959202853715,-74.72483143434255,0.0679326135054147,,,,,False
1272944851026721536,235.0577306890557,29.56006398485191,0.3672280248000801,0.25,1.25,0.42356172,42.91249,8.306808,0.5400815244520418,1.0009952,0.0570177832886732,46.89063906707191,52.98330566186296,0.0570177832886732,,,,,False
3792002268879699968,168.65834191643674,-0.3832084539964374,0.3347613822838307,0.25,1.25,0.4226355,42.725018,7.0698967,0.2374855220942273,1.0482502,0.0629884147946112,258.75290814534566,53.969201700608274,0.0629884147946112,,UCAC4 449-051176,*,0.18137087412147876,False
4590734175823879424,271.24922055712045,30.234797604956004,0.2287394041030959,0.4,1.4,0.422346,37.226246,3.443615,0.6585938847987224,1.0818639,0.1163935551907753,56.4823364132908,22.60379030615471,0.1163935551907753,,,,,False
3092215069724965248,126.1820616717214,3.969451215184016,0.1774474939085806,0.3,1.15,0.42095262,40.4406,2.2905235,0.0818819400247611,1.1384524,0.0469804984979287,220.3015494222653,22.52415843634221,0.0469804984979287,,,,,False
813569889374037120,144.8489241476358,41.131639999907776,0.3562149790046227,0.05,0.8,0.42010516,51.70261,8.9687195,1.0918156099076932,0.97670156,0.0451448864776761,180.50393211873612,48.45152818053942,0.0451448864776761,,,,,False
6445700447537507200,296.0325665270442,-59.51293978481155,0.0914982224056828,-0.25,0.35,0.4191899,72.78248,7.3200607,-0.652331817526787,0.99456996,0.031134671022908,337.6017446980636,-29.72528258427684,0.031134671022908,,,,,False
4558138054107824896,252.87094418319168,16.156756782220956,0.3054911330181218,0.2,1.1,0.41895533,44.069202,6.5492973,0.3740170723766819,1.0712987,0.1456549347320705,34.91068191219419,33.6525544717462,0.1456549347320705,,,,,False
1750573969149075840,312.69130365258764,9.546351438736176,0.2419340762641093,0.05,0.7,0.4167568,50.88173,5.539154,2.345967749408112,1.0475594,0.1042402817678848,56.3935767395113,-21.16014354254312,0.1042402817678848,,,,,False
6665523578191725440,301.82515305343026,-52.83721641274765,0.0064641701386758,0.5,1.3,0.4157029,33.177986,11.044674,0.6364722486679049,1.0233039,0.057321146535624,345.6028608912774,-32.55526458196423,0.057321146535624,,,,,False
4777067754250246912,72.8786723937253,-53.90610036831022,0.3160366848063045,0.3,1.25,0.41480282,39.267616,4.1266327,0.04558353279554,1.0407813,0.0302884661947543,261.83066826968883,-39.0838735571845,0.0302884661947543,,,,,False
6484675287180344320,315.1407781688413,-44.24870309865372,0.382198728857297,-0.35,0.25,0.41311583,80.15366,9.97171,0.6128445102852119,1.0187907,0.0680285440971458,356.52712412756665,-41.19738097011679,0.0680285440971458,,,,,False
3991773047631016192,167.68877786929198,22.41039104303026,0.1572191881698303,0.35,1.3,0.41158348,36.942036,2.596096,0.7036215480340269,1.001674,0.0304426896884121,219.06081997955212,66.70560364193834,0.0304426896884121,,,,,False
4501136759982716928,266.1415360600246,15.418525196601404,0.2504384171701463,0.35,1.35,0.41091296,36.821766,4.20187,0.2227978251788062,1.0542029,0.1137444222083875,39.73675594666655,21.594279639419323,0.1137444222083875,,,,,False
1372138426397208320,240.70906875457567,35.58520493447224,0.3173086656281834,0.3,1.35,0.41006345,38.37543,7.965069,0.177211685705198,1.0670689,0.0554906241921313,56.979240274011374,48.68220275175592,0.0554906241921313,,,,,False
6122517837985435904,211.03782492185223,-33.85530687361744,0.3711668860443682,0.25,1.25,0.4093115,40.07359,7.2924843,0.3879981753241366,1.0411531,0.0930523634186464,319.77881396930616,26.62650943562744,0.0930523634186464,,,,,False
6119125019987274880,217.2583904114269,-34.998803644707934,0.2807553309930357,0.3,1.3,0.40834537,38.054535,3.8621216,0.5455048365926798,1.0763342,0.117437979334865,324.62495997850374,23.72845387106993,0.117437979334865,,,,,False
1651980112944580480,256.0875782709884,71.83352213593511,0.5076984262896893,0.05,0.85,0.4072771,48.593307,9.756023,0.7758904034190028,0.97182447,0.0519019892417544,103.32885232968938,33.93437372448979,0.0519019892417544,,,,,False
4757816993572635008,82.60768794234683,-62.028410356934906,0.2746590075570116,0.1,1.0,0.40560725,45.713173,7.5959473,0.569106843114753,1.0254234,0.1124957690064789,271.21416166800924,-33.17576851934975,0.1124957690064789,,,,,False
5128173226094752384,44.47093564156172,-19.10772672771928,0.2775983701524573,0.2,1.15,0.40559015,41.30233,5.3570824,0.5689625478390395,0.9756278,0.0627388765324596,204.2534656866545,-59.93289515400187,0.0627388765324596,,6dFGS gJ025753.2-190628,G,2.5333188314690696,False
4897971912562287616,66.62771661798735,-23.550907544130933,0.3169101640571794,0.25,1.25,0.40527976,39.288017,5.5055313,0.9495066076437372,1.0291559,0.1015887910447497,221.2828879429179,-41.63701636876954,0.1015887910447497,,,,,False
6571067867143999616,328.77712333580325,-43.473042149507926,0.1773246991731509,0.35,1.25,0.40484798,35.74283,1.7292366,2.4312600463067677,1.0283338,0.0281593411077399,356.3556098692038,-51.0479400322366,0.0281593411077399,,,,,False
3178577103882755072,66.66728202672607,-12.347975056124108,0.2306772031626973,0.1,0.9,0.40381792,45.31074,5.1269646,0.0223626627111063,1.0760134,0.0837176526598808,207.6628907625937,-37.653764706448655,0.0837176526598808,,,,,False
4790556910793188480,69.58516942039152,-44.45814176834906,0.2559176833027807,0.3,1.3,0.4034363,37.14506,4.730297,0.7233777206315786,0.9656844,0.032758038995774,249.63024900335623,-41.90432281585164,0.032758038995774,,,,,False
3624055372430253184,200.812968658964,-9.442131996067255,0.3134486528436921,0.2,1.15,0.40335858,40.84909,6.689625,0.9950822800534794,1.0669236,0.0547261174738667,315.9263944320148,52.62509012769711,0.0547261174738667,,,,,False
2916553175065226496,90.46607020277432,-22.627404610208742,0.2818087798570055,0.3,1.35,0.40300995,37.066593,5.2405586,0.1545089379437726,1.0277902,0.0406519518784819,228.5538235355961,-20.593947968359533,0.0406519518784819,,,,,False
879705926101025664,112.67198355123008,30.138444033575745,0.1379335314626031,0.25,1.2,0.40294215,38.836105,2.9223442,0.0993130337391403,1.006672,0.0503400385473517,188.91833180532203,21.107374063808123,0.0503400385473517,,,,,False
2108096568812079360,274.8230307084823,37.64401119886398,0.1808562044058215,0.35,1.35,0.40140033,35.136654,3.7756157,0.3422690987948065,1.0394392,0.0435085685656548,65.09775339087416,22.148873904522496,0.0435085685656548,,,,,False
6381951901526400512,337.9353346139374,-73.55760908726242,0.2277596257643095,0.3,1.25,0.40127638,36.748394,2.5308914,-0.2996321056725211,1.0399904,0.0790094522205378,315.1590779937525,-40.08188049286526,0.0790094522205378,,,,,False
6626730261046834944,335.3751491938113,-23.296706910393965,0.5162391682703635,0.15,1.2,0.3992673,42.07484,10.751492,0.2041936715588053,1.070193,0.0519148444488334,30.918209979546532,-55.99434988403116,0.0519148444488334,,,,,False
4943871025463563136,31.8573004519936,-45.91536652714365,0.3424698822842673,0.25,1.3,0.3987899,38.039837,7.8321724,0.1477889273082383,1.0552497,0.0416339727239864,269.21174009848124,-65.92263441083117,0.0416339727239864,,,,,False
2358754090018774656,18.340392393387575,-15.894860312893725,0.4257596637569474,0.25,1.35,0.3985424,37.992634,9.053284,0.4861266137201249,0.9952434,0.0358239247624655,148.40792298685196,-77.66852747508894,0.0358239247624655,,,,,False
5471523975573696128,160.74177628651938,-23.539129455340348,0.407577410739961,0.15,1.1,0.3984321,41.899,7.2146034,0.7394177221064083,0.9866399,0.1108504508170444,268.44329793105607,30.5938838094771,0.1108504508170444,,,,,False
5004806161737193344,8.05930432537672,-35.86595133300915,0.1630889827476274,0.15,0.95,0.39804313,41.81723,2.161808,0.6329018359249075,1.0213468,0.0372582907013816,326.8075427154384,-80.3549049528325,0.0372582907013816,,,,,False
