source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,M_G,M_Ks,residual,resid_nsigma,W1,W2,W1_W2,w12_nsigma,ruwe,astrometric_excess_noise,phot_variable_flag,non_single_star,teff_gspphot
5699418131466175488,123.79719661239764,-23.737393793190947,9.896990624838601,11.059386,2.77528,11.081870459010172,7.23748435824113,0.1507922224952445,0.8534997246433231,6.983,6.892,0.09099960327148438,-0.6015738967266099,1.3941109,0.2594513,NOT_AVAILABLE,0,3189.2764
3735000631158990976,191.98138882517026,9.749354230882224,8.07913428762614,10.105141,2.7543068,10.568316551871227,6.825175854391979,0.15000100136374073,0.8490213304218193,6.206,5.955,0.25099992752075195,0.12760559637238883,1.0942307,0.20402758,VARIABLE,0,3038.983
3085716990368639744,117.97896837066911,-0.006769120798188667,9.272241602779395,11.653467,3.1158705,11.817543481714743,7.825076078302879,0.1482314151384827,0.8390052876114019,7.39,7.248,0.1419997215270996,-0.3691478653913094,1.3989514,0.30401888,NOT_AVAILABLE,0,3074.9465
2879455480942629248,355.7815091563796,36.536310377293006,8.362644038437866,11.167953,3.010641,11.556234481827616,7.614281776444315,0.1461460038189486,0.8272016417897711,7.02,6.851,0.16900014877319336,-0.24609712818098678,1.1618363,0.48274124,NOT_AVAILABLE,0,
5138510181584617856,31.2762752397911,-17.615403066083893,9.319907480616278,9.17051,2.395567,9.32345228653721,5.814942173774758,0.14424039286018164,0.8164156847843546,5.563,5.266,0.2970004081726074,0.3372464662982122,15.138265,1.7917346,NOT_AVAILABLE,0,
2400808245117576704,339.69068815030255,-20.614689446269768,8.850602534192834,10.21215,2.719409,10.477285431331076,6.756135986750999,0.1427818257287683,0.8081600425208794,6.342,5.996,0.34600019454956055,0.5605562599498927,1.9434482,0.3465848,VARIABLE,0,3059.8752
6882963066420161664,313.1361327596479,-16.974558468206272,5.620149134079134,10.081701,2.9015598,11.332962078734194,7.450260681792057,0.13094136171327975,0.7411417798436557,6.079,5.766,0.3130002021789551,0.41016332904819747,1.0382286,0.21902096,NOT_AVAILABLE,0,3000.1555
1872046574983497216,316.753662752556,38.75607277205679,3.4964380683468383,5.4506445,1.7153406,7.732515292703403,4.82587070995499,0.12556455722084703,0.7107085049849539,0.972,1.069,-0.09700000286102295,-1.4583562697982109,0.9611461,0.2566724,NOT_AVAILABLE,0,3889.6328
6002807341299977216,233.0469274248337,-41.28017408697192,5.917282054313164,8.2741785,2.4276128,9.413567150267145,5.898388469847222,0.12510057431606114,0.7080823132960128,4.664,4.32,0.34399986267089844,0.5514400222662725,1.0352235,0.14503162,NOT_AVAILABLE,0,3211.7449
1934263333784036736,341.7028254522359,44.3319533233193,5.0515944358575045,9.005235,2.7301593,10.48809233723108,6.78185740528528,0.12242388229574885,0.6929319569680293,5.202,4.716,0.48600006103515625,1.198586414931666,1.104833,0.18515012,NOT_AVAILABLE,0,
5425628298649940608,144.94009578928657,-41.065969983608085,9.606540749321084,9.631405,2.5324478,9.718569730217975,6.143165086205523,0.12211224228870421,0.6911680419875412,5.95,5.692,0.25799989700317383,0.15950699546548602,1.0810505,0.16581023,NOT_AVAILABLE,0,3193.7021
922225002820369152,119.5542083173886,41.30064250416778,8.850130987314925,10.665649,2.7916021,10.930900921224737,7.143251289724492,0.11884071606255375,0.6726508619435182,6.708,6.476,0.23200035095214844,0.041017636776717284,1.2316712,0.17951176,NOT_AVAILABLE,0,
2828928008202069376,344.1402217312129,16.55216937227734,6.8670277620815305,7.795021,2.1508222,8.611177041291967,5.339155747651831,0.1162766491377667,0.6581379754162185,4.396,4.172,0.2239999771118164,0.004557032281895425,1.0549177,0.13268174,NOT_AVAILABLE,0,3398.1133
4330690742322011520,247.57481416249274,-12.66785108081103,4.307764238399739,8.801877,2.7315807,10.630617388915008,6.903740176390594,0.11625523556171835,0.6580167723398366,4.971,4.572,0.3990001678466797,0.802096355848984,1.1489384,0.17868292,NOT_AVAILABLE,0,
533621859441169920,15.659011875595588,71.67812049454075,8.233174791867143,8.941875,2.4585924,9.364038779444336,5.8711632034250485,0.110937860535131,0.6279198744632852,5.404,5.044,0.3599996566772461,0.6243568850162579,1.0015539,0.13793212,NOT_AVAILABLE,0,3272.1016
522863309964987520,15.668950820681058,62.345451222893885,9.859619205549434,8.671337,2.1754298,8.702036417138793,5.401699102533079,0.11019900086680678,0.6237378515908214,5.302,5.076,0.2259998321533203,0.013671096845686275,1.0359348,0.11391777,NOT_AVAILABLE,0,3594.5579
5951165616635298816,259.7685324639266,-46.63635961449501,8.827235238798764,7.987019,2.025042,8.257895560321732,5.1268764448737345,0.11001509728293613,0.6226969381033934,2.69,2.418,0.2720000743865967,0.22331088021159504,17.542185,3.348226,NOT_AVAILABLE,1,
3507879565090229888,199.596298132351,-18.31592210064546,8.534415098502675,4.5325284,0.898438,4.87665958874857,3.300131277972813,0.10666888540085395,0.6037570294483207,2.144,2.791,-0.6469998359680176,-3.964904937066478,1.1792638,0.817024,NOT_AVAILABLE,0,
3316364602541746048,90.01597644159976,2.7063740799024933,5.207968173719361,9.901327,2.8903284,11.317985525366796,7.458658209082616,0.10525985921363379,0.5957817941019117,6.014,5.629,0.38499975204467773,0.7382913845429604,1.0857981,0.18574862,NOT_AVAILABLE,0,3138.287
102162639019033600,38.40513666109431,24.92413187711575,9.98536696975022,11.529306,2.9684,11.532486260998004,7.630179704296344,0.10242150795688865,0.5797164296156935,7.405,7.264,0.14100027084350586,-0.3737027245533756,1.423382,0.27353936,NOT_AVAILABLE,0,3089.2524
4719430087707860736,30.160435097325607,-55.96826051259185,8.21635650380474,10.557133,2.7857323,10.98373634680095,7.199603389342454,0.1006107610963376,0.5694674133116343,6.619,6.382,0.2369999885559082,0.06380279818619441,1.0814393,0.38282937,VARIABLE,0,
527956488340229632,8.14303081725879,67.23432836058251,9.892524908817453,9.566636,2.3044653,9.5901003231685,6.060464416949016,0.09595179269515342,0.5430971656839223,5.679,5.365,0.31400012969970703,0.4147203613300929,5.8858223,4.802143,NOT_AVAILABLE,0,
999747822484300800,90.29510135819429,59.59306278611283,7.733868235854992,10.417205,2.7911243,10.975221013874267,7.197016095966552,0.09536559415002976,0.5397792207092394,6.529,6.236,0.2929997444152832,0.31901399093097205,1.1339737,0.19607627,NOT_AVAILABLE,0,3013.4104
3139847906307949696,111.85462844259372,5.209382701706996,3.7860589303898693,8.576388,2.7577581,10.685451511480386,6.966063026525552,0.09434313037172437,0.5339919689611,4.787,4.268,0.5190000534057617,1.3489793458333612,1.2387705,0.30759868,NOT_AVAILABLE,0,3024.395
6078114541943893888,189.46009727129754,-52.00134627910898,9.492469518442949,9.565008,2.489376,9.678112107262756,6.133103924737122,0.0940234369295041,0.5321824706965999,5.935,5.675,0.25999975204467773,0.16862106002927688,1.0048603,0.14231494,NOT_AVAILABLE,0,3163.5781
6623351805412369024,342.0203381724408,-24.369627417603155,7.676325777322197,11.129232,3.0147228,11.703465418735796,7.780232863346391,0.08803129767752438,0.4982663368472534,6.918,6.787,0.13100004196166992,-0.4192773936119883,1.2056623,0.26244682,NOT_AVAILABLE,0,
1022456139210632064,138.5835616152243,52.68408016691263,6.333606343845312,6.976026,1.8173037,7.967770723554821,4.97974458143446,0.07720946675670604,0.4370136438488042,3.889,3.318,0.5709998607635498,1.5859613228906424,1.0839477,0.12741469,NOT_AVAILABLE,0,3745.384
