source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr
4783673349528243328,73.84413298540733,-51.81559199121411,0.14794827576843161,0.05,0.95,0.3357834,33.030476,1.807682,1.0402596370663872,0.98138463,0.03148268945527126,259.08558277211375,-38.70266440566983,0.03148268945527126,
4780962228731573760,65.63860077620882,-52.551616395326846,0.29067846943931475,-0.8,0.4,0.1778245,27.502886,7.5559444,0.3456131579318635,1.1166359,0.032197153482622747,260.99016461204985,-43.57824507472872,0.032197153482622747,
4790556910793188480,69.58516942039152,-44.45814176834906,0.25591768330278075,0.3,1.3,0.4034363,37.14506,4.730297,0.7233777206315786,0.9656844,0.03275803899577401,249.63024900335625,-41.90432281585164,0.03275803899577401,
4757816993572635008,82.60768794234683,-62.028410356934906,0.27465900755701167,0.1,1.0,0.40560725,45.713173,7.5959473,0.569106843114753,1.0254234,0.11249576900647895,271.21416166800924,-33.17576851934975,0.11249576900647895,
4822853965347715968,81.93191184420007,-34.91441538181357,0.3372082624287218,0.25,1.0,0.50947195,62.085606,7.654232,0.4631789690176652,1.0418234,0.03785322569308653,239.06889408270274,-31.443515628262006,0.03785322569308653,
4803564030270831872,88.18732365377723,-42.77938797991947,0.04686063110502303,-0.85,-0.1,0.22572462,47.653084,1.3523178,1.673721816619181,1.1946893,0.027451300311301025,249.1328912952616,-28.369028184171054,0.027451300311301025,
4793671999033083520,86.46523216877611,-50.08997661700662,0.05129353567633377,0.3,1.2,0.37216073,31.609108,1.3532867,0.5984159933838323,1.048951,0.052834041982165854,257.2060075488444,-30.725544643988545,0.052834041982165854,
4799546483502321152,81.7789151936978,-44.66456523056416,0.16937668999518074,0.2,1.05,0.3889067,37.974373,1.9252472,-0.16640306049775896,0.99006736,0.03681789152852974,250.418211726132,-33.24430800246445,0.03681789152852974,
4809077084651427712,81.94275030380824,-38.837586581915964,0.3562176696041828,-0.1,1.25,0.28118852,27.376347,9.063412,0.04124350071993581,0.97773606,0.03785317790239361,243.59160051609052,-32.23863663397347,0.03785317790239361,
4813712316436413312,74.76586870793324,-40.752335409568396,0.2275604009789003,-0.55,0.35,0.25031498,38.341003,5.0252304,1.55912943174346,0.9998973,0.027638128150328345,244.9762833695813,-37.96295787770614,0.027638128150328345,
4839428828258188544,64.79918758184388,-43.59463899150474,0.46615487044981574,0.15,1.4,0.34747136,31.866404,10.06378,2.718335042664155,1.0453377,0.03754671378242833,248.65487669724465,-45.38078535331822,0.03754671378242833,
4831180498185171712,62.02151516320955,-47.38917242798365,0.22533044393274793,0.15,1.35,0.32908297,28.582869,4.8767643,0.46569134806620666,1.0356878,0.0371034432641358,254.43024030379044,-46.85296701633268,0.0371034432641358,
4857765177515809792,60.82946858331372,-36.09836506723396,0.2929912833529471,-0.05,1.05,0.3165341,32.766098,8.586975,-0.39499124176935085,1.0740443,0.025999264908334464,237.7600281863293,-48.600433327225794,0.025999264908334464,
4833895810868901504,52.149731494018354,-47.77019854478075,0.3277055849828585,-0.1,1.4,0.27524897,26.232018,9.865818,0.8307922794243859,1.0375012,0.0403870435953992,257.6746181128265,-53.18600278339016,0.0403870435953992,
4835588577739753344,57.450259157561696,-44.54988683763482,0.21442754891108162,0.25,1.4,0.35874933,30.784527,3.6814842,0.24047494910029912,1.0796642,0.0318061692748177,251.07844192581547,-50.493651533618774,0.0318061692748177,
4893365165000419456,71.38065909375732,-25.81778896364019,0.2638172890846828,0.05,1.1,0.33085844,32.068665,4.8517,0.20010478974928747,0.97642255,0.05862403123826962,225.64960254250212,-38.09260952514761,0.05862403123826962,
4882903895977643392,63.437124360501606,-32.348245508036435,0.387492075060794,-0.3,0.65,0.29599425,38.619102,10.7818985,0.6197426929117856,1.050974,0.04986307892475224,232.46886591904504,-46.17377708495093,0.04986307892475224,
4879649513358392704,70.257696556991,-27.353127565251548,0.22249970647739925,0.25,1.3,0.38257793,35.009842,4.1782722,0.21351155213840714,1.0615449,0.07213851865434762,227.23101630030786,-39.45118626208191,0.07213851865434762,
4876606236971436672,74.37305264510515,-29.895130660308105,0.12767260559423033,-0.55,0.45,0.21826914,29.152412,1.8320732,1.0423059659154637,1.1340492,0.026511931952974438,231.43764055389897,-36.53169107101337,0.026511931952974438,
4880609455728928128,73.99763123526289,-27.049146917482236,0.3356342989681522,-0.2,1.1,0.25367585,25.076424,7.8760567,2.9465794212481007,1.0750295,0.027979672818632728,227.91143018048567,-36.15464638960523,0.027979672818632728,
4881021635150542080,71.9903414585108,-27.03139209095519,0.44814006529892936,0.25,1.05,0.47180596,53.244797,8.147305,1.4592677877971232,1.0265898,0.059268534803233276,227.315991058195,-37.87822544459989,0.059268534803233276,
