HIP,Gaia,RA_ICRS,DE_ICRS,RV,e_RV,plx,e_plx,pmRA,pmDE,e_pmRA,e_pmDE,pmRApmDEcor,pmRAhg,pmDEhg,e_pmRAhg,e_pmDEhg,pmRApmDEhg,pmRAhip,pmDEhip,e_pmRAhip,e_pmDEhip,pmRApmDEhip,EpochRAgaia,EpochDEgaia,EpochRAhip,EpochDEhip,dpmRA,dpmDE,chi2,source_id,local_resultant,dv_kms
55427,3817499634290280832,170.26061119809,7.06422302159,9.904,0.337,9.2905,0.0737,23.777,-49.526,0.061,0.06,-0.2398,26.468,-53.391,0.034,0.025,-0.4722,19.996,-57.205,1.044,0.845,-0.3059,2016.1,2015.5,1991.2,1991.2,-1e-04,1e-04,4016.0,3817499634290280832,0.35799931297915266,2.4038738061008167
94179,2035774817119448576,287.58865804209,25.50408341594,,,2.38,0.0168,-6.177,-9.457,0.016,0.023,-0.0752,-6.466,-8.72,0.022,0.035,-0.251,-4.769,-8.286,0.651,1.067,-0.1939,2016.2,2016.1,1990.8,1991.3,0.0,0.0,361.1,2035774817119448576,0.3579229123796034,1.5715800164859026
40210,1138957195834520448,123.18596124824,79.22100397487,,,2.1359,0.0672,-6.768,-10.912,0.083,0.109,0.0472,-4.611,-11.238,0.03,0.029,-0.0219,-2.948,-11.621,0.909,0.896,0.1454,2016.0,2016.2,1991.2,1991.3,0.0,0.0,608.2,1138957195834520448,0.35783274669942633,4.851334453679267
19038,53164002842376832,61.17423506942,22.08168214145,9.52,0.11,17.6194,0.1853,93.067,-58.496,0.768,0.311,-0.8243,91.019,-57.913,0.023,0.015,0.0783,91.032,-58.848,0.611,0.516,0.1423,2015.5,2015.2,1991.4,1991.3,-0.0005,0.0,7.428,53164002842376832,0.35775430761461985,0.5724623055942357
78036,5833134761396419840,239.00934222977,-60.06140085055,,,3.0365,0.2017,-9.07,-10.415,0.283,0.299,-0.0368,-9.264,-11.407,0.035,0.031,-0.2804,-10.399,-12.659,1.052,1.164,-0.1161,2016.1,2015.8,1990.8,1990.8,0.0,0.0,11.54,5833134761396419840,0.3575631609867382,1.5781957094809629
24298,3395487142902571008,78.21423025272,18.15470672893,-71.315,4.29,11.2289,0.0677,-10.516,-47.319,0.097,0.077,0.0085,-10.842,-47.353,0.046,0.026,0.1047,-10.966,-46.682,1.667,0.825,0.1535,2016.0,2016.2,1991.2,1990.9,-0.0002,-0.001,9.352,3395487142902571008,0.3574784844172945,0.13646853123813457
36735,5267978637828753152,113.34078952009,-68.76857432523,,,6.0709,0.0215,-4.672,-10.883,0.041,0.039,0.0695,-4.828,-10.899,0.015,0.014,-0.1179,-5.153,-11.322,0.479,0.434,-0.2687,2015.8,2016.0,1991.2,1991.2,0.0,0.0,12.81,5267978637828753152,0.35716359088445887,0.11934633913155726
83251,6028358239261500288,255.23331516788,-31.77796127035,90.559,0.379,12.7637,0.3878,20.421,-68.834,0.643,0.438,-0.0099,24.138,-68.466,0.048,0.036,-0.1614,20.998,-68.831,1.742,1.626,-0.6313,2016.1,2016.2,1991.1,1991.1,-0.0006,0.0021,34.06,6028358239261500288,0.35702269072838455,1.386648044122161
24847,3215185309169853568,79.89702256913,-1.4118975719,29.4,2.1,2.7569,0.1031,-0.95,2.989,0.124,0.088,0.0966,1.559,-0.252,0.023,0.015,-0.1096,0.827,1.268,0.732,0.426,-0.0653,2016.1,2016.5,1991.4,1991.3,0.0,0.0,1856.0,3215185309169853568,0.35698082078635085,7.048703210760112
25848,3416165413271907072,82.76830257846,23.20948945085,17.493,2.271,9.1814,0.018,5.255,-36.735,0.025,0.017,0.0104,5.607,-38.015,0.047,0.025,0.0636,9.444,-38.492,1.483,0.709,0.2067,2016.0,2016.4,1991.2,1991.0,0.0,0.0002,1881.0,3416165413271907072,0.35678407124700706,0.683925680314288
18813,5094142482222743936,60.46708283565,-20.47503495031,4.667,0.2,7.6383,0.0267,25.518,7.064,0.028,0.032,-0.7028,24.769,5.622,0.024,0.025,0.0346,23.872,2.13,0.725,0.859,0.1798,2016.0,2016.1,1991.4,1991.1,0.0,0.0,2771.0,5094142482222743936,0.3567803584167623,1.0061834480327643
19219,163824934735578624,61.79070233644,27.50889596608,-15.714,0.367,18.2175,0.1071,-78.196,-89.943,0.168,0.094,-0.0732,-85.83,-77.402,0.056,0.041,0.4061,-104.661,-78.693,1.78,1.452,0.3875,2016.0,2015.5,1991.1,1990.9,-0.0004,-0.0008,16740.0,163824934735578624,0.3565802186213449,3.8207661988889097
82385,1306444152826835968,252.5170695532,26.20917610412,-21.387,0.16,4.7836,0.0177,13.682,6.207,0.019,0.024,0.1502,13.738,6.1,0.014,0.018,0.0132,13.747,6.508,0.462,0.62,-0.0811,2016.0,2016.2,1991.4,1991.1,0.0,0.0,19.72,1306444152826835968,0.35614038027849815,0.12312409914347211
5370,533245311067368064,17.17036961666,70.68148359034,7.5,7.7,3.7915,0.048,5.272,-12.895,0.069,0.071,-0.1408,5.31,-12.604,0.015,0.017,-0.1491,5.964,-12.63,0.507,0.577,-0.1389,2016.3,2016.0,1991.3,1991.3,0.0,0.0,16.9,533245311067368064,0.3560954018144596,0.370638467345443
25227,3014986300704795520,80.93181051052,-8.28959968956,19.4,1.1,7.0268,0.0302,-0.589,-2.417,0.037,0.029,-0.1662,-0.905,-2.255,0.025,0.02,0.1384,-1.923,-1.362,0.758,0.591,-0.1157,2016.3,2016.5,1991.1,1991.2,0.0,0.0,67.15,3014986300704795520,0.3558400929727682,0.2373396112978461
51966,3762120497774235648,159.24966629336,-8.8401277554,24.991,2.616,26.3036,0.4013,-71.48,-59.266,0.678,0.704,-0.3212,-90.597,-52.966,0.043,0.036,-0.3828,-101.526,-73.636,1.111,1.107,-0.4448,2016.2,2016.0,1991.5,1991.7,0.0012,0.001,791.6,3762120497774235648,0.35581831031704964,3.626759092853527
53175,3807826646385182976,163.1646615427,0.48373685595,14.451,0.257,25.4097,0.0216,-91.298,-30.86,0.032,0.026,-0.1922,-90.702,-30.685,0.071,0.04,-0.3295,-91.678,-36.057,2.43,1.626,-0.3065,2016.2,2016.2,1991.0,1991.5,0.0009,0.0003,97.09,3807826646385182976,0.3555034219849659,0.11703744159146887
7217,290192458947088256,23.2389860912,23.69493304764,-53.66,0.11,14.8514,0.0221,-205.707,-161.241,0.029,0.02,0.2214,-205.813,-161.523,0.039,0.024,0.1875,-203.987,-161.463,1.371,0.865,0.2164,2016.2,2016.6,1991.0,1990.7,-0.0033,-0.0046,79.73,290192458947088256,0.3554604805386387,0.09720075961828066
14160,541351975937669120,45.64423295842,69.2287244659,-43.878,0.142,3.3836,0.017,-29.678,3.399,0.018,0.021,-0.0733,-29.595,3.37,0.02,0.025,-0.1967,-29.959,4.859,0.638,0.824,-0.181,2016.4,2016.2,1991.2,1991.2,-1e-04,-1e-04,9.698,541351975937669120,0.35526788568536893,0.1200652334363511
87222,4552637128714041088,267.29892693931,20.19744063022,-22.958,0.735,9.5588,0.2414,-34.248,44.364,0.297,0.349,0.0713,-25.245,41.818,0.025,0.026,-0.0472,-21.418,47.995,0.853,0.782,-0.0646,2016.2,2016.2,1991.2,1991.0,-0.0002,0.0002,1000.0,4552637128714041088,0.3546286465883154,4.640184725168156
56862,5236523877939131008,174.87287105803,-65.39777997851,-1.691,3.367,8.3972,0.5075,-29.762,5.783,0.768,0.69,0.2759,-36.116,-4.539,0.032,0.034,0.0782,-29.027,-7.164,0.637,0.585,0.1203,2016.2,2015.8,1991.3,1991.4,0.0,1e-04,157.9,5236523877939131008,0.3543502873377026,6.840778536767361
106367,6400634352132230528,323.15401698226,-65.81136670835,4.608,0.228,3.2644,0.0223,7.023,-9.317,0.023,0.029,-0.263,8.56,-11.285,0.02,0.024,-0.2377,8.794,-12.243,0.642,0.797,-0.3629,2015.9,2016.1,1991.4,1991.2,0.0,0.0,4286.0,6400634352132230528,0.3543236893703253,3.6301937538956297
53765,3789596743596878976,165.00883815848,-3.47112837723,57.2,0.3,18.0032,0.0273,62.318,42.042,0.04,0.034,-0.0716,62.799,41.563,0.062,0.036,-0.3183,64.895,39.691,2.224,1.11,0.3257,2016.3,2016.1,1991.5,1991.3,-0.0016,-0.0011,114.5,3789596743596878976,0.35418669658997953,0.17914370930553394
104465,6885954008629090560,317.42476903644,-12.63192778253,,,4.7247,0.0543,5.376,-11.719,0.087,0.065,0.0489,6.691,-14.265,0.052,0.025,0.3286,4.261,-14.04,1.955,0.668,0.5806,2016.2,2016.2,1991.3,1991.7,0.0,0.0,1637.0,6885954008629090560,0.3540594392094188,2.877303684092959
61287,1569243065546593152,188.38268094406,52.35240290548,-15.102,0.45,3.494,0.0337,-4.479,31.484,0.033,0.04,0.1395,-4.127,31.196,0.087,0.086,0.1476,-3.616,33.805,2.703,2.384,0.1095,2015.9,2015.9,1991.2,1991.2,0.0,0.0,27.54,1569243065546593152,0.35390886381472664,0.6242571550225414
44662,5296892288953455360,136.51778293088,-64.06484714997,13.459,3.367,7.4894,0.0424,106.74,-62.979,0.072,0.074,0.0562,106.322,-64.255,0.049,0.052,-0.011,108.005,-67.319,1.263,1.438,-0.2806,2015.8,2015.9,1991.2,1991.3,0.0005,0.0016,218.1,5296892288953455360,0.35390003205945475,0.8460448224847711
11335,5130054731008660864,36.46604843339,-20.23673015584,19.756,3.176,6.4582,0.151,109.635,-95.968,0.148,0.135,0.1842,109.707,-94.918,0.039,0.031,0.2094,109.64,-94.557,1.295,0.95,0.3845,2015.7,2016.2,1991.0,1991.2,-1e-04,0.0006,58.32,5130054731008660864,0.3536218262183241,0.7734310125906745
84999,4059082886146557056,260.60257329862,-30.20457189465,-16.436,0.231,14.1509,0.0332,45.502,-88.234,0.049,0.033,0.0923,44.401,-91.244,0.048,0.027,0.0009,46.713,-90.576,1.496,0.788,-0.131,2016.1,2016.3,1991.0,1990.8,0.0004,-0.0005,5158.0,4059082886146557056,0.3533207533663777,1.0744375931367574
24377,3233668443231050112,78.44691014035,0.56032555801,-4.214,0.876,2.9431,0.261,1.868,-19.5,0.332,0.208,-0.0071,5.763,-20.114,0.038,0.027,0.1707,8.404,-17.269,1.197,0.976,0.4738,2016.2,2016.4,1991.2,1991.0,0.0,0.0,144.0,3233668443231050112,0.3529424360468235,6.358325122693328
